NPUA80396,UP9000,332303AFD9AFEE36CACEA3C0EEB1CFCE,,UP9000-NPUA80396_00-PIXJFOURFULL0001,PixelJunk Shooter 2
NPUA80472,UP9000,976fe11d247cc348f114dbe07099e03b,,UP9000-NPUA80472_00-GLITTLEBIG000001,LittleBigPlanet
NPUA80473,UP9000,3CFF737EB2A19688863F6AD703C12C86,,UP9000-NPUA80473_00-0000000000000000,echochrome II
NPUA80479,UP9000,85c8a8db5d8c09d77632493b1a7433ef,,UP9000-NPUA80479_00-GLBPPACKAGE00001,LittleBigPlanet™ Sackboy™'s Prehistoric Moves
NPUA80480,UP9000,96EF96310615E4AFC9180B578894FD56,,UP9000-NPUA80480_00-WELCOMEBACKOFFER,inFAMOUS
NPUA80480,UP9000,D8083C8085874E017165D101BC348DDB,,UP9000-NPUA80480_00-TRIALSHP06091754,inFAMOUS 1 - Collection
NPUA80483,UP9000,,,UP9000-NPUA80483_00-BQPLUSA000BQP001,BUZZ Quiz Player
NPUA80484,UP9000,,,UP9000-NPUA80484_00-BEATSKETCHER0001,Beat Sketcher
NPUA80488,UP9000,43B9E47D16DB320DCD230DFD5D35BD8C,,UP9000-NPUA80488_00-EATTHEMFULL00001,Eat Them
NPUA80490,UP9000,aff0382aae70e453b0b670df435e4a2e,,UP9000-NPUA80490_00-GODOFWARHDUS0000,God of War® HD
NPUA80491,UP9000,9541672eb395dadc9721cf068a06bfb9,,UP9000-NPUA80491_00-GODOFWARIIHDUS00,God of War® II HD
NPUA80499,UP9000,944008B6850159D2C6AA8468BC6ADDE7,,UP9000-NPUA80499_00-XMOTORSTOR000001,Motorstorm 3D Rift
NPUA80523,UP9000,36D2E58B75E18C40E6AB7F905A1F4EB1,,UP9000-NPUA80523_00-TOKYOJUNGLE00001,Tokyo Jungle
NPUA80532,UP9000,,,UP9000-NPUA80532_00-TOPDARTSXXXXXXXX,Top Darts
NPUA80535,UP9000,73D28E0A34D1939D0B93A3F38D132DDB,,UP9000-NPUA80535_00-MODNATIONKART002,ModNation Racers
NPUA80536,UP9000,,,UP9000-NPUA80536_00-0000201106080000,PlayStationMove Ape Escape
NPUA80538,UP9000,,,UP9000-NPUA80538_00-PJ4AMDEMO0000001,PixelJunk 4AM
NPUA80543,UP9000,ff99680548ee53ce1dabb9638aa761a9,,UP9000-NPUA80543_00-SOUNDSHAPES00000,Sound Shapes™
NPUA80619,UP9000,5F8E35588067D6EEFCA2E13C1B79B49E,,UP9000-NPUA80619_00-PSMOVEHEROESHDD0,Playstation Move Heroes
NPUA80636,UP9000,730B8CA920D3727EB4CA1CAEBAFDAD38,,UP9000-NPUA80636_00-GOWGHOSTOFSPARTA,God of War - Ghost of Sparta
NPUA80637,UP9000,26AAB6CA0AB0BA9A4D9A87E6FF450389,,UP9000-NPUA80637_00-GOWCHAINSOFOLYMP,God of War - Chains of Olympus
NPUA80638,UP9000,8ccfe989ad59b9204f681f682e51bb68,,UP9000-NPUA80638_00-TRIALSHP06111244,inFAMOUS™ 2
NPUA80642,UP9000,UNLOCK/LICENSE BY DLC,,UP9000-NPUA80642_00-RATCHETQFORCE001,Ratchet and Clank - Full Frontal Assault
NPUA80643,UP9000,3F2358C59170761586FEABAD427F4D0F,,UP9000-NPUA80643_00-RC1REMASTER00100,Ratchet and Clank HD
NPUA80644,UP9000,C149ECD5F792AA1C327C2635E43587F3,,UP9000-NPUA80644_00-RC2REMASTER00100,Ratchet and Clank 2: Going Commando HD
NPUA80645,UP9000,5851BD8874A5422E4C1F214B951E884C,,UP9000-NPUA80645_00-RC3REMASTER00100,Ratchet and Clank 3: Up Your Arsenal HD
NPUA80646,UP9000,B95DCF9BED9F733B54A107CD1241A6B7,,UP9000-NPUA80646_00-RC4REMASTER00101,Ratchet Deadlocked HD
NPUA80657,UP9000,7F6827C12C773C0C0B27E4AD1CD5CDB0,,UP9000-NPUA80657_00-BLOODSHP10041043,inFAMOUS Festival of Blood
NPUA80661,UP9000,B615B3CC84F86B11A916E02A02D8DBE2,,UP9000-NPUA80661_00-GMOTORSTOR000001,Motorstorm Apocalypse
NPUA80662,UP9000,3b7451ccac1333f611260a19055b66b7,,UP9000-NPUA80662_00-GLITTLEBIG000001,LittleBigPlanet™ 2
NPUA80663,UP9000,547C07C96204FE26C87E35085159719E,,UP9000-NPUA80663_00-SLY1US030100SHIP,Sly Cooper and the Thievius Raccoounus
NPUA80664,UP9000,88DE5FD723942CE57731659C1E98EBE4,,UP9000-NPUA80664_00-SLY2US030100SHIP,Sly 2: Band of Thieves
NPUA80665,UP9000,B2427070418E810E8717A873CA3C2070,,UP9000-NPUA80665_00-SLY3US030100SHIP,Sly 3:Honor Among Thieves
NPUA80670,UP9000,8DE53CC080E6361CC8508EE44AFBA2BB,,UP9000-NPUA80670_00-SC00000000000001,Sports Champions
